Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Peternakan;44929159;18400950;45672097;52945423
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Pangan;58362000;19173450;125382839;36068055
Badan Penelitian dan Pengembangan Pertanian;Sekretariat Badan;12972135;21982748;272903598;8630000
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pelatihan Pertanian;63057840;26696591;106520534;16002830
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pertanian;0;0;525706024;0
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Sekretariat Badan;23058353;4719479;79128618;2259054
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pendidikan Pertanian;66926230;31016118;220821560;87686092
Badan Ketahanan Pangan;Kepala Pusat Distribusi dan Stabilitas Harga Pangan;0;0;182809600;465000
Badan Ketahanan Pangan;Kepala Pusat Ketersediaan dan Penanganan Rawan Pangan;0;0;90175900;165500
Badan Ketahanan Pangan;Kepala Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;0;0;174617500;90000
Badan Ketahanan Pangan;Sekretariat Badan;23695850;11488050;42325100;1779500
Badan Karantina Pertanian;Kepala Pusat Kepatuhan, Kerja Sama dan Pengembangan Sistem Informasi Perkarantinaan;0;0;7384340;200000
Badan Karantina Pertanian;Kepala Pusat Karantina Hewan dan Keamanan Hayati Hewani;0;0;7303440;0
Badan Karantina Pertanian;Kepala Pusat Karantina Tumbuhan dan Keamanan Hayati Nabati;0;0;8000000;0
Badan Karantina Pertanian;Sekretariat Badan;15398724;16923985;40085694;709608
Badan Karantina Pertanian;Balai Besar;8775492;9743865;16093487;1414863
Badan Karantina Pertanian;Kepala Pusat Karantina Tumbuhan dan Keamanan Hayati Nabati;229791993;158579725;116656399;136123375
