SEKRETARIAT JENDERAL                                                                                                                                                                                    ;Biro Hukum;Biro SDM;Biro Keuangan;Biro Perencanaan;Biro Umum;Biro Kerjasama;Pusdatin;LPMUKP;Total
5115  Belanja Gaji dan Tunjangan Pegawai Non PNS                                                               ;;;;;;;;77000000;77000000
5124  Belanja Tunj. Khusus & Belanja Pegawai Transito                                                          ;;;;;;;;24730277000;24730277000
5211  Belanja Barang Operasional                                                                               ;417600000;378010000;381960000;403320000;914660000;117070000;1174650000;1831610000;5618880000
5212  Belanja Barang Non Operasional                                                                           ;4010830000;7102134000;1345608000;8798707000;26247569000;179338000;4111734000;5426093000;57222013000
5218  Belanja Barang Persediaan                                                                                ;72000000;60000000;33000000;39450000;298980000;27400000;276000000;138000000;944830000
5221  Belanja Jasa                                                                                             ;24431620000;74425662000;2687435000;20477748000;14178287000;306640000;6133564000;2820990000;145461946000
5231  Belanja Pemeliharaan                                                                                     ;;42000000;221540000;413800000;568920000;54360000;190700000;1184096000;2675416000
5241  Belanja Perjalanan Dalam Negeri                                                                          ;5632950000;2669850000;2956193000;23987813000;12953840000;356894000;9164650000;7198460000;64920650000
5242  Belanja Perjalanan Luar Negeri                                                                           ;2435000000;585000000;;469700000;1112936000;;;450000000;5052636000
5261  Belanja Barang untuk diserahkan kepada masyarakat/Pemda                                                  ;;;;42033319000;161345381000;;39732070000;;243110770000
5263  Belanja Barang Lainnya untuk diserahkan kepada masyarakat/Pemda                                          ;;1335235000;;13498230000;5060000000;;18205000000;;38098465000
5321  Belanja Modal Peralatan dan Mesin                                                                        ;;730000000;;31619200000;356000000;;1327000000;;34032200000
5331  Belanja Modal Gedung dan Bangunan                                                                        ;;;;2000000000;;;;;2000000000
;;;;;;;;;
BADAN RISET DAN SUMBER DAYA MANUSIA KP;PUSAT RISET KELAUTAN                                                                                                                                                                                    ;PUSAT RISET PERIKANAN                                                                                                                                                                                   ;PUSAT PENDIDIKAN KELAUTAN DAN PERIKANAN                                                                                                                                                                 ;PUSAT PENYULUHAN DAN PEMBERDAYAAN MASYARAKAT KELAUTAN DAN PERIKANAN                                                                                                                                     ;PUSAT PELATIHAN DAN PENYULUHAN KELAUTAN DAN PERIKANAN                                                                                                                                                   ;SET BRSDMKP;Total;;
5111  Belanja Gaji dan Tunjangan PNS                                                                           ;3941268000;6477961000;1450015000;;97623893000;27690185000;137183322000;;
5115  Belanja Gaji dan Tunjangan Pegawai Non PNS                                                               ;;;;;;100205000;100205000;;
5122  Belanja Lembur                                                                                           ;49260000;58267000;;;;117986000;225513000;;
5124  Belanja Tunj. Khusus & Belanja Pegawai Transito                                                          ;4252235000;5937077000;875568000;;95152794000;29577132000;135794806000;;
5211  Belanja Barang Operasional                                                                               ;1641713000;1401330000;720720000;;5442900000;9961610000;19168273000;;
5212  Belanja Barang Non Operasional                                                                           ;885403000;693240000;24991074000;40948271000;169530649000;11782747000;248831384000;;
5218  Belanja Barang Persediaan                                                                                ;28969000;260424000;567252000;;110920000;1190656000;2158221000;;
5221  Belanja Jasa                                                                                             ;3285032000;2809130000;8342064000;110650000;2918480000;10010559000;27475915000;;
5231  Belanja Pemeliharaan                                                                                     ;1047190000;1003472000;348508000;;490230000;5137842000;8027242000;;
5241  Belanja Perjalanan Dalam Negeri                                                                          ;693762000;1567539000;3490437000;1558626000;18141467000;19578854000;45030685000;;
5242  Belanja Perjalanan Luar Negeri                                                                           ;;;715267000;;;1274013000;1989280000;;
5311  Belanja Modal Tanah                                                                                      ;299128000;;300000000;;;;599128000;;
5321  Belanja Modal Peralatan dan Mesin                                                                        ;97072159000;773966000;;;;487634000;98333759000;;
5331  Belanja Modal Gedung dan Bangunan                                                                        ;121742090000;129297627000;249002818000;;44365866000;965185000;545373586000;;
5341  Belanja Modal Jalan, Irigasi dan Jaringan                                                                ;755510000;;4554826000;;;;5310336000;;
5361  Belanja Modal Fisik Lainnya                                                                              ;;;24578001000;;;;24578001000;;
;;;;;;;;;
BADAN KARANTINA IKAN, PENGENDALIAN MUTU DAN KEAMANAN HASIL PERIKANAN                                                                                                                                    ;PUSAT PENGENDALIAN MUTU                                                                                                                                                                                 ;PUSAT STANDARDISASI SISTEM DAN KEPATUHAN                                                                                                                                                                ;SEKRETARIAT BKIPM                                                                                  ;PUSAT KARANTINA IKAN                                                                                                                                                                                    ;Total;;;;
5111  Belanja Gaji dan Tunjangan PNS                                                                           ;;;15802987000;;15802987000;;;;
5124  Belanja Tunj. Khusus & Belanja Pegawai Transito                                                          ;;;10193463000;;10193463000;;;;
5211  Belanja Barang Operasional                                                                               ;691278000;589890000;2317850000;1147660000;4746678000;;;;
5212  Belanja Barang Non Operasional                                                                           ;1982088000;1230400000;6510372000;1507257000;11230117000;;;;
5218  Belanja Barang Persediaan                                                                                ;988500000;189000000;150080000;948442000;2276022000;;;;
5221  Belanja Jasa                                                                                             ;1923852000;2617500000;5947141000;1962900000;12451393000;;;;
5231  Belanja Pemeliharaan                                                                                     ;305610000;208660000;871084000;600040000;1985394000;;;;
5241  Belanja Perjalanan Dalam Negeri                                                                          ;;;9358492000;;9358492000;;;;
5242  Belanja Perjalanan Luar Negeri                                                                           ;;;933834000;;933834000;;;;
5321  Belanja Modal Peralatan dan Mesin                                                                        ;631157000;276000000;2168250000;884000000;3959407000;;;;
;;;;;;;;;
032.13  BADAN KARANTINA IKAN, PENGENDALIAN MUTU DAN KEAMANAN HASIL PERIKANAN                                                                                                                                    ;PUSAT PENGENDALIAN MUTU                                                                                                                                                                                 ;PUSAT STANDARDISASI SISTEM DAN KEPATUHAN                                                                                                                                                                ;SEKRETARIAT BKIPM                                                                                  ;PUSAT KARANTINA IKAN                                                                                                                                                                                    ;Total;;;;
5111  Belanja Gaji dan Tunjangan PNS                                                                           ;;;15802987000;;15802987000;;;;
5124  Belanja Tunj. Khusus & Belanja Pegawai Transito                                                          ;;;10193463000;;10193463000;;;;
5211  Belanja Barang Operasional                                                                               ;691278000;589890000;2317850000;1147660000;4746678000;;;;
5212  Belanja Barang Non Operasional                                                                           ;1982088000;1230400000;6510372000;1507257000;11230117000;;;;
5218  Belanja Barang Persediaan                                                                                ;988500000;189000000;150080000;948442000;2276022000;;;;
5221  Belanja Jasa                                                                                             ;1923852000;2617500000;5947141000;1962900000;12451393000;;;;
5231  Belanja Pemeliharaan                                                                                     ;305610000;208660000;871084000;600040000;1985394000;;;;
5241  Belanja Perjalanan Dalam Negeri                                                                          ;;;9358492000;;9358492000;;;;
5242  Belanja Perjalanan Luar Negeri                                                                           ;;;933834000;;933834000;;;;
5321  Belanja Modal Peralatan dan Mesin                                                                        ;631157000;276000000;2168250000;884000000;3959407000;;;;
